1916,1953 RA,Boreas,binzeletal2019/1916_20010814.csv,2001-08-14T14:10:45,2001-08-14T14:43:27,15,1800,00 54 22.0,00 15 37,1.07,0.361,1.272,14.8,38.2,-
1917,1968 AA,Cuyo,binzeletal2019/1917_20080707.csv,2008-07-07T14:02:33,2008-07-07T14:32:18,16,1920,23 20 38.4,34 31 18,1.043,0.791,1.365,15.9,47.6,s107684 s110361 s115271
1943,1973 EC,Anteros,binzeletal2019/1943_20020112.csv,2002-01-12T12:25:31,2002-01-12T13:00:51,15,1800,07 58 44.8,00 40 48,1.154,0.499,1.459,15.9,14.4,-
1951,1949 OA,Lick,binzeletal2019/1951_20080707.csv,2008-07-07T11:00:25,2008-07-07T11:37:20,16,1920,19 18 45.2,36 52 32,1.051,0.453,1.306,14.7,42.1,s107684 s110361 s115271
1980,1950 LA,Tezcatlipoca,binzeletal2019/1980_20061025.csv,2006-10-25T14:06:36,2006-10-25T14:24:45,16,1920,07 02 53.5,53 14 06,1.227,0.382,1.171,14.1,53.9,sHYA64 sL1121333 sL115271 sL98978
1981,1973 EA,Midas,binzeletal2019/1981_20131031.csv,2013-10-31T07:17:44,2013-10-31T07:36:04,18,2160,21 07 10.4,06 21 22,1.279,0.658,1.304,16.7,48,sL113-276 sL93-101 sL98-978
2063,1977 HB,Bacchus,binzeletal2019/2063_20050519.csv,2005-05-19T09:28:26,2005-05-19T10:07:28,15,1800,14 27 54.2,-29 21 59,1.547,0.341,1.337,16.4,14.9,-
2064,1942 RQ,Thomsen,binzeletal2019/2064_20060629.csv,2006-06-29T05:59:27,2006-06-29T06:34:43,16,1920,13 55 46.2,-20 47 10,1.32,0.915,1.645,14.9,33.5,s10556 s107998
2074,1974 UA,Shoemaker,binzeletal2019/2074_20030930.csv,2003-09-30T10:51:50,2003-09-30T11:48:04,24,2880,01 20 41.3,25 19 01,1.007,0.724,1.68,15.2,15.5,-
2078,1975 AD,Nanking,binzeletal2019/2078_20100712.csv,2010-07-12T08:32:55,2010-07-12T09:13:00,16,1920,+18 37 48.4,-25 30 59,1.492,1.219,2.225,15.6,5.2,s10556 s107684 s1121333 s115271
