P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_1565_20050303_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_1566_20050610_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_15745_20090807_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_1580_20020601_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_159402_20090920_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_161998_20100711_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_162058_20031016_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_1620_20010129_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_162186_20021227_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_162781_20010129_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_1627_20081002_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_162911_20121114_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_163000_20080902_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_163081_20111024_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_163249_20130612_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_163364_20130612_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_163697_20090824_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_1640_20050308_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_164202_20050303_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_16834_20090920_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_1685_20050309_csv::1.0
P,urn:nasa:pds:gbo.ast.mithneos.spectra_2000-2021:data:binzel2019_16960_20081002_csv::1.0
